Month;Year;Genotipo;acum;Pn_estandarizada;Rto_t_ha
abril;2021;Brazos;34.2;34.2;2.2099
abril;2021;Castilla;78;48.63529412;1.680672269
abril;2021;San Antonio;30.5;12.82936508;0.756448413
agosto;2020;Brazos;1.895;1.895;0.1224
agosto;2020;Castilla;2.055;1.281352941;0.0828
agosto;2020;San Antonio;12.435;5.230595238;0.338
agosto;2021;Brazos;39.4;39.4;2.5459
agosto;2021;Castilla;121.7;75.88352941;2.622279681
agosto;2021;San Antonio;120.3;50.60238095;2.983630952
diciembre;2020;Brazos;30.9;30.9;1.9966
diciembre;2020;Castilla;27;16.83529412;1.0878
diciembre;2020;San Antonio;71.1;29.90714286;1.9325
enero;2021;Brazos;25.1;25.1;1.6219
enero;2021;Castilla;15.9;9.914117647;0.342598578
enero;2021;San Antonio;44.3;18.63412698;1.098710317
febrero;2021;Brazos;23.8;23.8;1.5379
febrero;2021;Castilla;36.4;22.69647059;0.784313725
febrero;2021;San Antonio;64.8;27.25714286;1.607142857
julio;2020;Brazos;0.385;0.385;0.0249
julio;2020;Castilla;1.175;0.732647059;0.0473
julio;2020;San Antonio;12.242;5.149412698;0.3327
julio;2021;Brazos;28.8;28.8;1.8609
julio;2021;Castilla;18.2;11.34823529;0.392156863
julio;2021;San Antonio;32.5;13.67063492;0.806051587
junio;2021;Brazos;38.3;38.3;2.4748
junio;2021;Castilla;3.3;2.057647059;0.071105365
junio;2021;San Antonio;15;6.30952381;0.37202381
marzo;2021;Brazos;23.7;23.7;1.5314
marzo;2021;Castilla;161.2;100.5129412;3.473389356
marzo;2021;San Antonio;119.6;50.30793651;2.966269841
mayo;2021;Brazos;53.3;53.3;3.444
mayo;2021;Castilla;10.1;6.297647059;0.217625512
mayo;2021;San Antonio;17.1;7.192857143;0.424107143
noviembre;2020;Brazos;15.17;15.17;0.9802
noviembre;2020;Castilla;17.98;11.21105882;0.7244
noviembre;2020;San Antonio;41.86;17.60777778;1.1377
octubre;2020;Brazos;15.2;15.2;0.9822
octubre;2020;Castilla;18;11.22352941;0.7252
octubre;2020;San Antonio;41.9;17.62460317;1.1388
octubre;2021;Brazos;17.6;17.6;1.1372
octubre;2021;Castilla;23.3;14.52823529;0.502046973
octubre;2021;San Antonio;19.1;8.034126984;0.473710317
septiembre;2020;Brazos;8;8;0.5169
septiembre;2020;Castilla;7.3;4.551764706;0.2941
septiembre;2020;San Antonio;31.5;13.25;0.8562
septiembre;2021;Brazos;37.7;37.7;2.436
septiembre;2021;Castilla;136.8;85.29882353;2.947640595
septiembre;2021;San Antonio;105.3;44.29285714;2.611607143
